ens_gene,BRC20067,CB4856,DL238,N2
WBGene00001249,1,0,0,1
WBGene00001377,1,1,1,3
WBGene00001392,1,1,0,2
WBGene00001394,0,0,1,1
WBGene00001395,0,1,1,2
WBGene00001414,0,0,1,1
WBGene00001428,0,0,1,1
WBGene00001430,0,0,1,1
WBGene00001433,0,1,0,1
WBGene00001461,1,0,0,1
WBGene00001463,0,0,1,1
WBGene00001476,1,1,1,3
WBGene00001483,1,0,0,1
WBGene00001507,0,1,0,1
WBGene00001522,1,0,0,1
WBGene00001523,0,1,1,2
WBGene00001541,1,1,1,3
WBGene00001544,1,0,0,1
WBGene00001553,0,1,1,2
WBGene00001562,1,0,0,1
WBGene00001621,0,0,1,1
WBGene00001626,1,1,0,2
WBGene00001633,0,0,1,1
WBGene00001639,0,0,1,1
WBGene00001663,1,0,0,1
WBGene00001671,0,1,1,2
WBGene00001690,0,1,1,2
WBGene00001691,0,1,1,2
WBGene00001692,1,0,0,1
WBGene00001693,1,1,1,3
WBGene00001695,0,1,0,1
WBGene00001696,1,1,1,3
WBGene00001699,1,0,0,1
WBGene00001700,0,1,0,1
WBGene00001701,0,0,1,1
WBGene00001702,0,0,1,1
WBGene00001712,1,0,0,1
WBGene00001713,0,1,0,1
WBGene00001714,0,1,0,1
WBGene00001716,0,1,0,1
WBGene00001718,1,1,1,3
WBGene00001725,0,1,0,1
WBGene00001726,1,1,1,3
WBGene00001728,1,0,0,1
WBGene00001729,1,1,1,3
WBGene00001731,1,1,1,3
WBGene00001732,1,1,0,2
WBGene00001735,0,0,1,1
WBGene00001758,0,0,1,1
WBGene00001764,1,1,1,3
WBGene00001767,1,0,0,1
WBGene00001770,0,1,1,2
WBGene00001772,0,1,1,2
WBGene00001775,0,1,0,1
WBGene00001778,1,0,1,2
WBGene00001780,1,1,0,2
WBGene00001781,1,0,0,1
WBGene00001782,0,0,1,1
WBGene00001783,0,0,1,1
WBGene00001786,0,1,1,2
WBGene00001787,0,1,0,1
WBGene00001805,0,1,0,1
WBGene00001820,1,1,1,3
WBGene00001824,0,1,0,1
WBGene00001841,1,1,1,3
WBGene00001842,1,0,0,1
WBGene00001853,0,0,1,1
WBGene00001854,0,0,1,1
WBGene00001858,0,1,0,1
WBGene00001881,0,1,0,1
WBGene00001883,0,1,0,1
WBGene00001885,1,1,0,2
WBGene00001886,1,1,1,3
WBGene00001887,0,1,0,1
WBGene00001889,1,1,0,2
WBGene00001890,0,0,1,1
WBGene00001892,0,0,1,1
WBGene00001893,0,1,0,1
WBGene00001895,0,1,0,1
WBGene00001899,0,1,0,1
WBGene00001905,1,0,1,2
WBGene00001915,0,1,0,1
WBGene00001916,0,0,1,1
WBGene00001917,1,1,1,3
WBGene00001918,1,1,0,2
WBGene00001920,0,0,1,1
WBGene00001922,0,1,1,2
WBGene00001925,0,1,0,1
WBGene00001927,0,1,0,1
WBGene00001930,0,0,1,1
WBGene00001932,0,1,1,2
WBGene00001933,0,1,0,1
WBGene00001934,0,1,0,1
WBGene00001935,1,0,1,2
WBGene00001937,0,1,0,1
WBGene00001938,1,1,1,3
WBGene00001940,0,1,1,2
WBGene00001941,1,0,1,2
WBGene00001942,0,0,1,1
WBGene00001949,1,0,1,2
WBGene00001950,1,0,0,1
WBGene00001957,1,0,1,2
WBGene00001958,1,1,1,3
WBGene00001960,0,1,0,1
WBGene00001976,0,1,0,1
WBGene00001984,0,1,1,2
WBGene00001991,1,0,0,1
WBGene00001993,1,0,0,1
WBGene00002012,1,1,1,3
WBGene00002021,0,0,1,1
WBGene00002025,1,0,0,1
WBGene00002051,0,1,0,1
WBGene00002055,1,1,1,3
WBGene00002058,1,0,0,1
WBGene00002063,0,1,0,1
WBGene00002085,0,1,0,1
WBGene00002102,0,0,1,1
WBGene00002106,0,1,0,1
WBGene00002112,0,1,0,1
WBGene00002113,0,1,1,2
WBGene00002116,0,0,1,1
WBGene00002117,1,0,0,1
WBGene00002120,0,0,1,1
WBGene00002124,0,1,1,2
WBGene00002125,1,0,0,1
WBGene00002204,0,1,0,1
WBGene00002216,0,1,0,1
WBGene00002252,0,0,1,1
WBGene00002260,1,0,0,1
WBGene00002271,0,1,0,1
WBGene00002273,0,1,0,1
WBGene00002275,1,0,0,1
WBGene00002983,0,1,0,1
WBGene00003017,0,0,1,1
WBGene00003018,0,1,0,1
WBGene00003045,0,0,1,1
WBGene00003055,0,1,1,2
WBGene00003057,0,1,0,1
WBGene00003080,0,0,1,1
WBGene00003090,0,1,0,1
WBGene00003091,0,1,0,1
WBGene00003093,1,0,0,1
WBGene00003094,1,1,0,2
WBGene00003095,0,1,0,1
WBGene00003096,0,0,1,1
WBGene00003104,0,1,1,2
WBGene00003161,0,1,0,1
WBGene00003165,0,0,1,1
WBGene00003169,0,1,0,1
WBGene00003377,1,1,1,3
WBGene00003380,1,0,1,2
WBGene00003387,0,0,1,1
WBGene00003391,1,0,0,1
WBGene00003425,0,0,1,1
WBGene00003426,0,1,0,1
WBGene00003429,0,0,1,1
WBGene00003431,0,1,1,2
WBGene00003432,0,0,1,1
WBGene00003438,0,0,1,1
WBGene00003442,1,1,0,2
WBGene00003443,1,0,1,2
WBGene00003444,0,0,1,1
WBGene00003446,0,1,1,2
WBGene00003449,0,0,1,1
WBGene00003451,0,0,1,1
WBGene00003456,0,1,0,1
WBGene00003457,0,1,1,2
WBGene00003458,0,1,1,2
WBGene00003466,0,0,1,1
WBGene00003467,0,0,1,1
WBGene00003468,0,0,1,1
WBGene00003470,0,0,1,1
WBGene00003473,0,0,1,1
WBGene00003485,0,0,1,1
WBGene00003510,0,1,0,1
WBGene00003511,0,1,0,1
WBGene00003517,0,0,1,1
WBGene00003520,0,1,0,1
WBGene00003522,0,1,1,2
WBGene00003524,0,1,0,1
WBGene00003527,0,1,0,1
WBGene00003531,0,0,1,1
WBGene00003533,0,1,1,2
WBGene00003534,0,1,0,1
WBGene00003545,0,1,0,1
WBGene00003546,0,1,0,1
WBGene00003549,1,0,0,1
WBGene00003552,0,1,1,2
WBGene00003554,0,1,0,1
WBGene00003573,0,1,1,2
WBGene00003574,1,1,0,2
WBGene00003595,0,1,0,1
WBGene00003601,1,0,0,1
WBGene00003602,1,0,0,1
WBGene00003607,0,1,0,1
WBGene00003610,1,0,0,1
WBGene00003614,0,0,1,1
WBGene00003617,0,0,1,1
WBGene00003620,0,0,1,1
WBGene00003628,0,0,1,1
WBGene00003640,0,0,1,1
WBGene00003643,1,0,1,2
WBGene00003644,0,1,1,2
WBGene00003645,0,1,0,1
WBGene00003649,0,1,0,1
WBGene00003652,0,1,0,1
WBGene00003653,0,0,1,1
WBGene00003655,1,1,0,2
WBGene00003664,1,1,1,3
WBGene00003691,0,0,1,1
WBGene00003696,0,0,1,1
WBGene00003700,0,1,0,1
WBGene00003703,1,1,1,3
WBGene00003704,1,0,0,1
WBGene00003705,0,1,1,2
WBGene00003706,0,1,0,1
WBGene00003713,0,1,1,2
WBGene00003717,0,1,0,1
WBGene00003720,0,0,1,1
WBGene00003721,0,0,1,1
WBGene00003722,0,1,1,2
WBGene00003725,0,1,0,1
WBGene00003726,0,0,1,1
WBGene00003732,0,0,1,1
WBGene00003736,0,1,1,2
WBGene00003754,0,0,1,1
WBGene00003763,0,1,1,2
WBGene00003769,0,0,1,1
WBGene00003772,0,0,1,1
WBGene00003774,1,0,0,1
WBGene00003816,0,1,0,1
WBGene00003856,1,0,0,1
WBGene00003879,0,1,0,1
WBGene00003884,0,1,1,2
WBGene00003887,0,1,0,1
WBGene00003888,0,1,0,1
WBGene00003892,0,1,1,2
WBGene00003905,0,1,0,1
WBGene00003938,0,1,1,2
WBGene00003957,0,1,0,1
WBGene00003958,0,0,1,1
WBGene00003959,0,1,1,2
WBGene00003969,0,0,1,1
WBGene00003976,0,1,1,2
WBGene00003977,0,1,1,2
WBGene00003979,0,0,1,1
WBGene00003981,0,1,0,1
WBGene00003987,1,0,0,1
WBGene00003998,0,1,1,2
WBGene00003999,1,0,1,2
WBGene00004000,0,0,1,1
WBGene00004003,0,0,1,1
WBGene00004005,0,0,1,1
WBGene00004007,0,1,0,1
WBGene00004008,0,1,0,1
WBGene00004010,0,0,1,1
WBGene00004017,0,1,1,2
WBGene00004020,1,0,0,1
WBGene00004023,0,1,0,1
WBGene00004030,0,1,0,1
WBGene00004041,1,1,1,3
WBGene00004062,1,0,0,1
WBGene00004086,0,1,0,1
WBGene00004092,0,1,1,2
WBGene00004093,0,1,0,1
WBGene00004098,0,1,1,2
WBGene00004099,0,1,0,1
WBGene00004104,0,1,0,1
WBGene00004115,0,1,1,2
WBGene00004118,0,1,0,1
WBGene00004120,0,1,0,1
WBGene00004122,0,1,1,2
WBGene00004127,0,1,1,2
WBGene00004133,0,1,0,1
WBGene00004139,0,1,0,1
WBGene00004141,0,1,0,1
WBGene00004146,0,1,0,1
WBGene00004149,0,1,1,2
WBGene00004150,0,1,1,2
WBGene00004154,0,1,0,1
WBGene00004156,0,1,0,1
WBGene00004168,0,0,1,1
WBGene00004172,0,1,0,1
WBGene00004174,0,1,0,1
WBGene00004177,0,0,1,1
WBGene00004191,1,0,0,1
WBGene00004196,1,0,0,1
WBGene00004216,0,1,0,1
WBGene00004218,0,1,0,1
WBGene00004219,0,0,1,1
WBGene00004224,0,0,1,1
WBGene00004225,0,1,0,1
WBGene00004229,0,0,1,1
WBGene00004230,0,1,1,2
WBGene00004231,0,0,1,1
WBGene00004232,0,1,1,2
WBGene00004233,0,0,1,1
WBGene00004235,0,1,0,1
WBGene00004236,0,1,1,2
WBGene00004264,0,1,0,1
WBGene00004265,0,1,0,1
WBGene00004281,0,1,0,1
WBGene00004309,0,0,1,1
WBGene00004342,0,0,1,1
WBGene00004344,0,0,1,1
WBGene00004351,0,1,1,2
WBGene00004352,0,1,0,1
WBGene00004353,1,0,1,2
WBGene00004354,0,1,0,1
WBGene00004393,0,1,0,1
WBGene00004397,0,1,0,1
WBGene00004398,0,1,0,1
WBGene00004413,0,1,0,1
WBGene00004509,1,1,1,3
WBGene00004684,0,1,0,1
WBGene00004750,0,1,0,1
WBGene00004809,0,0,1,1
WBGene00004810,0,1,1,2
WBGene00004811,0,1,0,1
WBGene00004812,1,1,0,2
WBGene00004814,0,0,1,1
WBGene00004818,0,1,1,2
WBGene00004820,0,0,1,1
WBGene00004821,0,1,0,1
WBGene00004827,1,1,1,3
WBGene00004898,0,1,0,1
WBGene00004925,0,1,0,1
WBGene00004932,0,1,1,2
WBGene00004971,0,0,1,1
WBGene00004976,0,1,0,1
WBGene00004994,0,1,0,1
WBGene00004998,0,1,1,2
WBGene00005002,1,0,1,2
WBGene00005012,1,0,0,1
WBGene00005013,1,0,1,2
WBGene00005016,0,1,0,1
WBGene00005017,0,1,0,1
WBGene00005062,0,1,1,2
WBGene00005105,0,0,1,1
WBGene00005106,0,0,1,1
WBGene00005271,0,1,0,1
WBGene00005421,0,0,1,1
WBGene00005422,0,0,1,1
WBGene00005477,0,1,0,1
WBGene00005548,1,1,0,2
WBGene00005552,1,1,1,3
WBGene00005616,0,1,0,1
WBGene00005644,0,0,1,1
WBGene00005647,0,0,1,1
WBGene00005652,0,0,1,1
WBGene00005949,0,1,1,2
WBGene00006016,1,0,0,1
WBGene00006039,0,0,1,1
WBGene00006047,0,1,1,2
WBGene00006052,0,0,1,1
WBGene00006058,0,0,1,1
WBGene00006066,0,0,1,1
WBGene00006224,0,1,0,1
WBGene00006272,0,1,1,2
WBGene00006288,0,1,0,1
WBGene00006310,1,0,0,1
WBGene00006363,0,0,1,1
WBGene00006388,0,1,0,1
WBGene00006394,0,1,0,1
WBGene00006404,0,1,0,1
WBGene00006416,0,0,1,1
WBGene00006431,0,1,1,2
WBGene00006452,0,0,1,1
WBGene00006459,0,1,0,1
WBGene00006464,0,0,1,1
WBGene00006484,0,1,1,2
WBGene00006505,0,1,1,2
WBGene00006534,1,1,1,3
WBGene00006539,0,0,1,1
WBGene00006591,0,1,0,1
WBGene00006598,0,1,0,1
WBGene00006615,1,1,1,3
WBGene00006620,0,0,1,1
WBGene00006624,0,0,1,1
WBGene00006627,0,1,0,1
WBGene00006628,0,1,0,1
WBGene00006634,0,1,0,1
WBGene00006645,0,0,1,1
WBGene00006649,0,1,0,1
WBGene00006666,0,0,1,1
WBGene00006682,0,1,1,2
WBGene00006686,0,1,0,1
WBGene00006688,0,0,1,1
WBGene00006695,1,0,1,2
WBGene00006714,0,0,1,1
WBGene00006722,0,0,1,1
WBGene00006775,1,0,1,2
WBGene00006804,0,0,1,1
WBGene00006853,0,0,1,1
WBGene00006862,1,0,0,1
WBGene00006893,0,1,0,1
WBGene00006897,0,0,1,1
WBGene00006912,0,1,0,1
WBGene00006927,0,1,1,2
WBGene00006948,0,1,1,2
WBGene00006950,0,1,1,2
WBGene00006952,0,1,0,1
WBGene00006981,1,0,0,1
WBGene00006983,0,0,1,1
WBGene00006984,1,0,0,1
WBGene00007056,1,1,1,3
WBGene00007063,0,0,1,1
WBGene00007071,0,1,1,2
WBGene00007075,0,1,0,1
WBGene00007076,0,1,1,2
WBGene00007097,0,1,0,1
WBGene00007126,0,1,0,1
WBGene00007130,1,0,0,1
WBGene00007131,1,0,1,2
WBGene00007133,0,1,0,1
WBGene00007140,0,0,1,1
WBGene00007146,0,1,1,2
WBGene00007148,1,0,1,2
WBGene00007152,0,1,0,1
WBGene00007159,0,0,1,1
WBGene00007169,0,0,1,1
WBGene00007174,0,0,1,1
WBGene00007177,1,1,1,3
WBGene00007182,0,1,0,1
WBGene00007183,1,1,1,3
WBGene00007203,1,0,0,1
WBGene00007210,0,1,0,1
WBGene00007213,1,1,1,3
WBGene00007220,0,1,0,1
WBGene00007228,1,0,0,1
WBGene00007239,0,0,1,1
WBGene00007242,0,1,0,1
WBGene00007247,1,1,1,3
WBGene00007250,1,0,1,2
WBGene00007253,1,0,0,1
WBGene00007257,0,0,1,1
WBGene00007264,0,0,1,1
WBGene00007271,0,1,0,1
WBGene00007283,0,1,1,2
WBGene00007303,0,0,1,1
WBGene00007309,1,1,0,2
WBGene00007313,1,1,1,3
WBGene00007315,1,0,1,2
WBGene00007316,1,0,0,1
WBGene00007325,0,1,1,2
WBGene00007330,0,0,1,1
WBGene00007335,0,0,1,1
WBGene00007336,0,1,0,1
WBGene00007339,0,1,0,1
WBGene00007341,0,1,1,2
WBGene00007343,0,1,1,2
WBGene00007358,0,0,1,1
WBGene00007362,1,0,0,1
WBGene00007363,0,0,1,1
WBGene00007367,0,1,0,1
WBGene00007368,1,1,0,2
WBGene00007377,0,0,1,1
WBGene00007381,0,1,1,2
WBGene00007384,0,1,0,1
WBGene00007388,1,0,0,1
WBGene00007391,0,1,0,1
WBGene00007392,0,1,1,2
WBGene00007393,0,1,1,2
WBGene00007414,1,0,0,1
WBGene00007415,0,0,1,1
WBGene00007422,1,1,0,2
WBGene00007424,1,0,0,1
WBGene00007439,1,0,1,2
WBGene00007440,0,0,1,1
WBGene00007450,1,0,0,1
WBGene00007453,0,1,0,1
WBGene00007454,1,1,1,3
WBGene00007455,1,0,0,1
WBGene00007459,0,0,1,1
WBGene00007460,1,0,0,1
WBGene00007462,1,0,1,2
WBGene00007482,1,0,0,1
WBGene00007495,1,0,0,1
WBGene00007507,1,0,1,2
WBGene00007508,0,0,1,1
WBGene00007509,1,0,1,2
WBGene00007515,0,1,0,1
WBGene00007517,1,0,1,2
WBGene00007530,0,1,0,1
WBGene00007552,0,0,1,1
WBGene00007559,0,0,1,1
WBGene00007570,0,0,1,1
WBGene00007599,0,0,1,1
WBGene00007600,0,1,1,2
WBGene00007601,0,0,1,1
WBGene00007605,0,1,0,1
WBGene00007611,0,0,1,1
WBGene00007640,1,0,0,1
WBGene00007641,0,0,1,1
WBGene00007642,1,0,1,2
WBGene00007655,0,1,1,2
WBGene00007656,0,1,0,1
WBGene00007657,1,1,1,3
WBGene00007658,1,1,1,3
WBGene00007660,0,1,0,1
WBGene00007672,1,1,0,2
WBGene00007687,0,1,0,1
WBGene00007694,1,1,0,2
WBGene00007699,1,0,0,1
WBGene00007700,1,1,1,3
WBGene00007709,0,1,0,1
WBGene00007717,0,0,1,1
WBGene00007724,1,1,1,3
WBGene00007725,1,1,1,3
WBGene00007728,1,1,1,3
WBGene00007750,0,1,0,1
WBGene00007758,0,1,1,2
WBGene00007763,0,0,1,1
WBGene00007766,1,1,1,3
WBGene00007769,1,0,0,1
WBGene00007788,0,1,1,2
WBGene00007793,0,1,1,2
WBGene00007807,0,0,1,1
WBGene00007811,0,1,1,2
WBGene00007813,1,0,0,1
WBGene00007820,0,0,1,1
WBGene00007823,0,1,0,1
WBGene00007837,0,1,0,1
WBGene00007840,0,1,1,2
WBGene00007848,1,0,0,1
WBGene00007850,1,1,1,3
WBGene00007851,1,0,1,2
WBGene00007853,0,0,1,1
WBGene00007864,0,1,1,2
WBGene00007867,1,0,1,2
WBGene00007871,0,0,1,1
WBGene00007875,0,0,1,1
WBGene00007886,0,1,0,1
WBGene00007894,1,0,1,2
WBGene00007903,0,1,0,1
WBGene00007904,1,0,1,2
WBGene00007916,0,0,1,1
WBGene00007935,0,1,1,2
WBGene00007938,0,1,1,2
WBGene00007941,0,0,1,1
WBGene00007946,1,1,1,3
WBGene00007948,0,0,1,1
WBGene00007957,1,0,0,1
WBGene00007963,0,1,0,1
WBGene00007977,0,0,1,1
WBGene00007989,0,1,1,2
WBGene00007990,0,1,1,2
WBGene00007992,0,1,0,1
WBGene00007996,0,1,1,2
WBGene00007999,0,1,0,1
WBGene00008003,0,0,1,1
WBGene00008007,0,0,1,1
WBGene00008010,0,1,1,2
WBGene00008014,0,1,1,2
WBGene00008016,0,1,1,2
WBGene00008017,0,1,0,1
WBGene00008027,0,1,0,1
WBGene00008042,0,1,1,2
WBGene00008043,1,0,0,1
WBGene00008047,0,1,0,1
WBGene00008066,0,1,0,1
WBGene00008070,1,1,1,3
WBGene00008079,0,0,1,1
WBGene00008084,1,0,1,2
WBGene00008086,0,1,1,2
WBGene00008089,0,0,1,1
WBGene00008092,0,0,1,1
WBGene00008096,0,0,1,1
WBGene00008097,1,0,1,2
WBGene00008099,0,1,0,1
WBGene00008101,0,1,0,1
WBGene00008102,0,1,0,1
WBGene00008111,1,0,0,1
WBGene00008127,0,1,0,1
WBGene00008128,0,1,0,1
WBGene00008129,0,0,1,1
WBGene00008144,0,1,0,1
WBGene00008145,0,1,0,1
WBGene00008150,0,1,1,2
WBGene00008157,1,0,0,1
WBGene00008167,0,1,0,1
WBGene00008168,0,1,0,1
WBGene00008170,0,1,0,1
WBGene00008199,0,1,0,1
WBGene00008201,1,1,1,3
WBGene00008215,0,1,0,1
WBGene00008221,1,0,1,2
WBGene00008222,0,0,1,1
WBGene00008228,0,0,1,1
WBGene00008233,1,0,0,1
WBGene00008246,0,1,0,1
WBGene00008263,0,1,0,1
WBGene00008272,0,0,1,1
WBGene00008283,0,1,0,1
WBGene00008287,1,0,0,1
WBGene00008295,0,0,1,1
WBGene00008296,0,0,1,1
WBGene00008301,0,1,0,1
WBGene00008302,0,1,0,1
WBGene00008312,0,0,1,1
WBGene00008313,0,0,1,1
WBGene00008314,0,1,0,1
WBGene00008323,0,0,1,1
WBGene00008332,0,0,1,1
WBGene00008335,0,1,0,1
WBGene00008352,0,1,0,1
WBGene00008356,0,1,0,1
WBGene00008357,0,1,1,2
WBGene00008358,0,1,0,1
WBGene00008359,1,1,0,2
WBGene00008360,0,1,0,1
WBGene00008365,0,1,0,1
WBGene00008368,0,0,1,1
WBGene00008370,0,1,1,2
WBGene00008376,0,1,1,2
WBGene00008423,0,0,1,1
WBGene00008425,0,0,1,1
WBGene00008436,0,1,0,1
WBGene00008447,1,1,0,2
WBGene00008448,0,1,0,1
WBGene00008449,0,1,0,1
WBGene00008462,0,1,0,1
WBGene00008476,1,0,0,1
WBGene00008477,0,0,1,1
WBGene00008483,0,0,1,1
WBGene00008492,0,1,0,1
WBGene00008495,0,1,0,1
WBGene00008496,0,1,0,1
WBGene00008497,0,0,1,1
WBGene00008500,0,0,1,1
WBGene00008507,0,1,0,1
WBGene00008508,0,0,1,1
WBGene00008512,0,1,0,1
WBGene00008515,1,0,0,1
WBGene00008519,1,1,1,3
WBGene00008536,0,0,1,1
WBGene00008538,1,1,1,3
WBGene00008539,0,1,1,2
WBGene00008556,0,0,1,1
WBGene00008557,0,0,1,1
WBGene00008559,0,1,1,2
WBGene00008560,1,0,0,1
WBGene00008563,0,1,0,1
WBGene00008564,1,0,0,1
WBGene00008565,0,1,1,2
WBGene00008566,0,0,1,1
WBGene00008567,1,0,1,2
WBGene00008577,1,0,1,2
WBGene00008584,1,1,0,2
WBGene00008589,1,0,0,1
WBGene00008595,0,0,1,1
WBGene00008596,0,1,1,2
WBGene00008597,0,1,1,2
WBGene00008602,0,0,1,1
WBGene00008603,1,0,0,1
WBGene00008604,1,0,1,2
WBGene00008605,0,1,0,1
WBGene00008607,1,0,0,1
WBGene00008610,1,0,0,1
WBGene00008611,0,1,1,2
WBGene00008612,1,1,1,3
WBGene00008625,1,0,1,2
WBGene00008627,0,0,1,1
WBGene00008629,1,0,0,1
WBGene00008631,0,1,0,1
WBGene00008632,0,1,0,1
WBGene00008633,0,1,0,1
WBGene00008640,0,1,1,2
WBGene00008644,0,1,0,1
WBGene00008649,0,0,1,1
WBGene00008652,0,1,0,1
WBGene00008655,0,0,1,1
WBGene00008661,0,0,1,1
WBGene00008662,0,0,1,1
WBGene00008695,0,0,1,1
WBGene00008698,0,1,0,1
WBGene00008706,0,0,1,1
WBGene00008711,0,0,1,1
WBGene00008714,1,1,0,2
WBGene00008736,0,0,1,1
WBGene00008762,0,1,0,1
WBGene00008772,0,1,0,1
WBGene00008779,0,1,0,1
WBGene00008782,0,1,1,2
WBGene00008784,1,1,1,3
WBGene00008785,1,0,1,2
WBGene00008789,0,0,1,1
WBGene00008794,0,1,1,2
WBGene00008803,1,0,0,1
WBGene00008807,0,1,1,2
WBGene00008809,0,0,1,1
WBGene00008811,0,0,1,1
WBGene00008823,0,0,1,1
WBGene00008824,0,1,1,2
WBGene00008826,0,1,1,2
WBGene00008829,0,0,1,1
WBGene00008838,1,0,0,1
WBGene00008841,1,1,1,3
WBGene00008843,1,0,0,1
WBGene00008847,1,0,0,1
WBGene00008850,1,0,1,2
WBGene00008853,1,1,0,2
WBGene00008862,0,1,1,2
WBGene00008863,0,1,1,2
WBGene00008875,0,1,1,2
WBGene00008880,0,1,0,1
WBGene00008886,1,0,0,1
WBGene00008891,0,0,1,1
WBGene00008892,0,0,1,1
WBGene00008904,1,1,1,3
WBGene00008916,0,1,0,1
WBGene00008922,0,1,0,1
WBGene00008925,0,0,1,1
WBGene00008929,0,0,1,1
WBGene00008935,0,0,1,1
WBGene00008936,0,0,1,1
WBGene00008944,0,1,1,2
WBGene00008945,1,1,1,3
WBGene00008950,0,0,1,1
WBGene00008964,0,1,1,2
WBGene00008965,0,0,1,1
WBGene00008967,0,1,0,1
WBGene00008976,0,1,0,1
WBGene00008986,0,0,1,1
